"Fleurs sauvages / locales
(vous pouvez accèder aux autres rubriques en cliquant sur les onglets en bas de la fenêtre)";;Description plante;;;;;;Conditions culture;;;;;;;;;;;;;;;;;;;;;;;;;
Espèce (+ variété);Stock;Nom latin;Famille;Annuel / bisannuel / vivace;Couleur fleur;"Période floraison 
(n° de mois)";Hauteur (cm);"Période semis en place
(n° de mois)";Culture godets / caissette;Autres techniques multiplication;"Exposition
S: soleil
Mo : mi-ombre
O : ombre";Sol;Utile pollinisateurs;Infos complémentaires;En stock ? (pour tri);;;;;;;;;;;;;;;;;;
Bardane (à petites têtes);4;Arctium minus;Astéracées;Bisannuelle;6;7-9;150;6-9;;;S+Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Achillée Millefeuille;8;Achillea millefolium;Astéracées;Vivace;1;6-9;50;5-7;oui, 3-4 sous abri;Privilégier repiquages repousses;S+Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Aigremoine eupatoire;10;Agrimonia eupatoria;Rosacées;Vivace;2;6-9;50;8-9;;;S;;Oui;;;;;;;;;;;;;;;;;;;;
Agripaume cardiaque;4;Leonurus cardiaca;Lamiacées;Vivace;3;6-8;100;;;;S+Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Alliaire officinale;1;Alliaria officinalis;Brassicacées;Bisannuelle;1;4-6;60;6-9;Non;;Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Anthyllide vulnéraire;2;Anthyllis vulneraria;Fabacées;Vivace;2;6-9;30;3-4/9-10;;;S;;Oui;;;;;;;;;;;;;;;;;;;;
Benoîte commune;7;Geum urbanum;Rosacées;Vivace;2;5-7;50;4-10;;;Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Bleuet des champs;14;Centaurea cyanus;Astéracées;Annuelle;5;5-9;60;3-5/9-10;;;S;;Oui;Messicole;;;;;;;;;;;;;;;;;;;
Bouillon blanc;8;Verbascum thapsus;Scrophulariaceae;Bisannuelle;2;6-9;150;3-6;Non;;S+Mo;;Oui;;;;;;;;;;;;;;;;;;;;
Bouillon noir;3;Verbascum nigrum;Scrophulariaceae;Bisannuelle;2;6-9;100;3-5/9-10;Non;;S+Mo;;Oui;;;;;;;;;;;;;;;;;;;;
